room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
616053,949161,Private room,,Micklegate Ward,385,4.5,3,,49,1,53.953134,-1.0837,30:17.9
6825353,35443247,Private room,,Rural West York Ward,1,,2,,103,1,53.980861,-1.149429,30:00.1
13583206,55759607,Entire home/apt,,Micklegate Ward,28,5,6,,191,1,53.953908,-1.095662,29:56.6
8545175,43256484,Entire home/apt,,Micklegate Ward,3,5,2,,102,7,53.956033,-1.084251,29:47.4
1449048,5737230,Private room,,Micklegate Ward,181,5,2,,58,2,53.957742,-1.086556,29:44.8
14311344,87476203,Entire home/apt,,Micklegate Ward,20,5,4,,121,1,53.954038,-1.094757,29:40.2
8516480,4449538,Private room,,Guildhall Ward,19,4.5,2,,127,2,53.962246,-1.078582,29:25.1
9678261,19722240,Private room,,Guildhall Ward,44,5,2,,45,1,53.964165,-1.083686,29:19.2
11039372,57220833,Private room,,Dringhouses & Woodthorpe Ward,20,5,1,,38,1,53.943695,-1.118592,29:15.4
6455741,28801715,Private room,,Micklegate Ward,7,5,3,,50,1,53.943922,-1.091825,29:12.3
9123529,35932409,Entire home/apt,,Guildhall Ward,13,5,4,,248,2,53.963727,-1.080435,28:59.5
2708867,11125883,Entire home/apt,,Micklegate Ward,27,4.5,4,,121,3,53.956079,-1.085405,28:49.8
10621627,50369853,Entire home/apt,,Bishopthorpe Ward,24,5,4,,140,2,53.919824,-1.096191,28:46.4
8378597,949161,Private room,,Bishopthorpe Ward,79,5,3,,62,1,53.926984,-1.08649,28:43.6
9328887,6839526,Entire home/apt,,Holgate Ward,24,4.5,2,,89,,53.956233,-1.106474,28:39.3
7122065,37307216,Entire home/apt,,Fulford & Heslington Ward,4,5,5,,147,5,53.938361,-1.080946,28:20.1
3409019,17190613,Entire home/apt,,Haxby & Wigginton Ward,0,,10,,1908,2,54.012368,-1.084473,28:15.2
4705107,21926322,Private room,,Holgate Ward,120,4.5,1,,32,2,53.956454,-1.121668,28:07.2
14740110,43256484,Entire home/apt,,Micklegate Ward,1,,2,,82,7,53.955252,-1.085415,27:55.3
