room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,name,last_modified,latitude,longitude,location
10130721,279,5582853,Private room,Switzerland,Zurich,,Kreis 3,0,,2,1,1,55,1,,07:01.7,47.369338,8.511274,0101000020E61000001897AAB4C5052140C495B37746AF4740
7497649,279,3572965,Entire home/apt,Switzerland,Zurich,,Kreis 4,1,5,2,1,1,99,5,,06:57.7,47.379176,8.516536,0101000020E6100000CF69166877082140CCB6D3D688B04740
9861242,279,50753703,Private room,Switzerland,Zurich,,Kreis 11,2,5,1,1,1,36,1,,06:39.4,47.418573,8.504743,0101000020E610000015C5ABAC6D0221408BFED0CC93B54740
8712997,279,28214726,Entire home/apt,Switzerland,Zurich,,Kreis 10,1,4,2,0,1,83,2,,05:50.2,47.402021,8.491612,0101000020E61000006EA46C91B4FB204011A7936C75B34740
946104,279,5126683,Private room,Switzerland,Zurich,,Kreis 3,79,4.5,2,1,1,72,2,,05:46.5,47.363486,8.519787,0101000020E61000009CC58B85210A2140E54691B586AE4740
6607028,279,34569524,Private room,Switzerland,Zurich,,Kreis 3,20,4.5,1,1,1,72,2,,05:36.9,47.37264,8.514077,0101000020E61000006840BD19350721403997E2AAB2AF4740
5604120,279,28878058,Private room,Switzerland,Zurich,,Kreis 5,0,,2,1,1,92,3,,05:27.7,47.386841,8.514895,0101000020E610000072BF4351A00721403FE0810184B14740
7588206,279,13570663,Entire home/apt,Switzerland,Zurich,,Kreis 1,15,4,2,0,1,93,,,05:21.0,47.370628,8.544695,0101000020E6100000E6965643E2162140AF7D01BD70AF4740
2868924,279,12886487,Entire home/apt,Switzerland,Zurich,,Kreis 7,3,5,,2,1,259,3,,05:12.2,47.364981,8.557274,0101000020E61000007CD28904531D2140A85489B2B7AE4740
7847643,279,18589061,Entire home/apt,Switzerland,Zurich,,Kreis 5,3,4.5,2,1,1,96,3,,05:07.0,47.382428,8.531199,0101000020E6100000F855B950F90F21408F899466F3B04740
9206432,279,15647838,Entire home/apt,Switzerland,Zurich,,Kreis 11,0,,3,2,1,155,1,,04:59.0,47.419573,8.507388,0101000020E610000005C4245CC80321406EA46C91B4B54740
8155428,279,43054775,Entire home/apt,Switzerland,Zurich,,Kreis 5,0,,2,1,1,104,21,,04:46.4,47.383498,8.530224,0101000020E6100000CE1B2785790F21406C0A647616B14740
8263299,279,43111694,Private room,Switzerland,Zurich,,Kreis 7,1,4,2,1,1,49,7,,04:43.2,47.356605,8.598245,0101000020E6100000B5FD2B2B4D322140884B8E3BA5AD4740
3814983,279,18715465,Entire home/apt,Switzerland,Zurich,,Kreis 7,5,5,,3,2,259,5,,04:00.3,47.363311,8.558976,0101000020E61000006F7F2E1A321E214077A38FF980AE4740
9123684,279,16693974,Private room,Switzerland,Zurich,,Kreis 4,1,5,2,1,1,57,2,,03:33.0,47.376627,8.529125,0101000020E6100000F4FDD478E90E214032E5435035B04740
3600409,279,16407214,Entire home/apt,Switzerland,Zurich,,Kreis 3,15,4,2,1,1,113,3,,02:59.9,47.373377,8.516522,0101000020E61000003B545392750821400F0A4AD1CAAF4740
10095770,279,18327045,Private room,Switzerland,Zurich,,Kreis 3,0,,2,1,1,51,1,,02:56.2,47.373123,8.51953,0101000020E6100000EE940ED6FF0921405531957EC2AF4740
4007176,279,20777052,Entire home/apt,Switzerland,Zurich,,Kreis 8,21,5,4,1,1,147,2,,02:42.0,47.357022,8.555098,0101000020E6100000672618CE351C2140ECF99AE5B2AD4740
1544537,279,8231273,Entire home/apt,Switzerland,Zurich,,Kreis 6,22,4.5,2,0,1,124,2,,02:38.4,47.389046,8.537241,0101000020E610000003249A4011132140DF516342CCB14740
4052666,279,16506657,Private room,Switzerland,Zurich,,Kreis 6,7,5,2,1,1,61,1,,02:33.6,47.385115,8.539092,0101000020E61000000A12DBDD031421407A19C5724BB14740
3687899,279,18761553,Private room,Switzerland,Zurich,,Kreis 6,31,5,1,1,1,62,2,,02:30.0,47.38717,8.549292,0101000020E6100000ABE80FCD3C19214004FF5BC98EB14740
9439308,279,6520602,Private room,Switzerland,Zurich,,Kreis 11,4,4.5,3,1,1,78,1,,01:43.4,47.408955,8.54184,0101000020E61000004C546F0D6C15214091442FA358B44740
9832649,279,8151064,Entire home/apt,Switzerland,Zurich,,Kreis 1,2,4.5,,2,1,135,1,,01:20.9,47.375697,8.54322,0101000020E6100000F5108DEE20162140481ADCD616B04740
7305052,279,1854424,Private room,Switzerland,Zurich,,Kreis 6,0,,1,1,1,47,25,,01:16.4,47.389167,8.538186,0101000020E610000082548A1D8D1321405AD76839D0B14740
10102196,279,16449139,Private room,Switzerland,Zurich,,Kreis 10,0,,2,1,1,88,1,,01:11.2,47.388904,8.534353,0101000020E6100000FA0967B7961121404CA4349BC7B14740
4693107,279,12425737,Entire home/apt,Switzerland,Zurich,,Kreis 6,9,5,5,2,2,165,2,,01:07.3,47.39039,8.540299,0101000020E61000007D1F0E12A2142140BC57AD4CF8B14740
10147958,279,51384162,Private room,Switzerland,Zurich,,Kreis 4,0,,1,1,1,52,1,,00:55.8,47.37335,8.527591,0101000020E6100000EF535568200E214016FBCBEEC9AF4740
10468708,279,51094859,Entire home/apt,Switzerland,Zurich,,Kreis 2,0,,,2,1,180,4,,00:51.8,47.364585,8.538982,0101000020E6100000EE43DE72F51321405BCEA5B8AAAE4740
1324289,279,245281,Entire home/apt,Switzerland,Zurich,,Kreis 3,39,5,2,1,1,98,3,,00:34.1,47.364636,8.520413,0101000020E610000095D39E92730A2140DD787764ACAE4740
8406965,279,8160971,Private room,Switzerland,Zurich,,Kreis 4,2,4.5,2,1,1,67,2,,00:10.1,47.37811,8.525576,0101000020E6100000FF1F274C180D2140312592E865B04740
9000288,279,47005467,Private room,Switzerland,Zurich,,Kreis 3,0,,2,1,,78,14,,59:53.9,47.369172,8.503835,0101000020E61000000B293FA9F6012140A94C310741AF4740
6344655,279,15044127,Entire home/apt,Switzerland,Zurich,,Kreis 3,0,,2,1,1,107,3,,59:25.6,47.369349,8.525069,0101000020E61000006F490ED8D50C2140B8E7F9D346AF4740
8598465,279,701793,Entire home/apt,Switzerland,Zurich,,Kreis 10,0,,4,2,,206,2,,59:21.4,47.394685,8.515237,0101000020E6100000D960E124CD072140639CBF0985B24740
9516948,279,47181926,Entire home/apt,Switzerland,Zurich,,Kreis 2,0,,1,1,1,114,21,,59:06.6,47.363749,8.529715,0101000020E6100000BA66F2CD360F2140F279C5538FAE4740
6920526,279,825903,Private room,Switzerland,Zurich,,Kreis 4,30,4.5,2,1,1,40,1,,58:45.7,47.379232,8.517063,0101000020E61000007CF1457BBC08214060CC96AC8AB04740
6449166,279,5643907,Private room,Switzerland,Zurich,,Kreis 4,19,4.5,2,1,1,92,1,,57:41.7,47.377292,8.52701,0101000020E610000076543541D40D21406E85B01A4BB04740
142372,279,691660,Private room,Switzerland,Zurich,,Kreis 9,73,5,1,1,,64,5,,57:36.7,47.385312,8.500321,0101000020E61000000801F9122A002140D06053E751B14740
7269995,279,5513596,Private room,Switzerland,Zurich,,Kreis 3,0,,2,1,2,72,1,,57:33.4,47.377364,8.504698,0101000020E610000095B6B8C6670221400858AB764DB04740
6087791,279,31593028,Entire home/apt,Switzerland,Zurich,,Kreis 1,3,4.5,3,2,1,145,2,,57:22.3,47.367731,8.544306,0101000020E61000007D08AA46AF162140D95C35CF11AF4740
5458682,279,4483413,Private room,Switzerland,Zurich,,Kreis 11,28,4.5,3,1,1,67,1,,57:18.5,47.40765,8.535889,0101000020E61000008192020B60122140711B0DE02DB44740
5636461,279,838534,Private room,Switzerland,Zurich,,Kreis 4,27,5,2,1,1,98,1,,56:19.7,47.385572,8.515288,0101000020E6100000E10A28D4D30721406D205D6C5AB14740
7321274,279,1337978,Private room,Switzerland,Zurich,,Kreis 7,33,5,2,1,1,77,1,,56:16.8,47.37866,8.556094,0101000020E6100000EF004F5AB81C2140D5264EEE77B04740
7840353,279,39347887,Private room,Switzerland,Zurich,,Kreis 6,1,5,2,1,1,62,3,,56:11.1,47.388107,8.546229,0101000020E6100000EA40D653AB172140A12C7C7DADB14740
10014497,279,8161249,Entire home/apt,Switzerland,Zurich,,Kreis 11,0,,2,1,1,71,1,,56:00.6,47.40889,8.555031,0101000020E61000004888F2052D1C2140AAD4EC8156B44740
8094274,279,5931113,Private room,Switzerland,Zurich,,Kreis 10,0,,2,1,1,225,1,,55:53.2,47.392512,8.533617,0101000020E6100000E42D573F36112140CFA44DD53DB24740
5540153,279,28729747,Entire home/apt,Switzerland,Zurich,,Kreis 1,13,4.5,2,1,1,88,4,,55:39.6,47.37384,8.545241,0101000020E61000006EE00ED429172140E4F736FDD9AF4740
10375885,279,2865545,Private room,Switzerland,Zurich,,Kreis 11,0,,1,1,1,47,7,,55:09.3,47.411991,8.519479,0101000020E6100000E6EAC726F9092140889FFF1EBCB44740
380506,279,1908965,Private room,Switzerland,Zurich,,Kreis 5,189,4.5,2,1,1,52,1,,54:48.2,47.386224,8.53023,0101000020E610000056B77A4E7A0F21401477BCC96FB14740
8049321,279,15407049,Entire home/apt,Switzerland,Zurich,,Kreis 5,6,5,3,0,1,203,3,,54:38.3,47.391123,8.511807,0101000020E61000004DBA2D910B06214051DB865110B24740
5267443,279,3845079,Entire home/apt,Switzerland,Zurich,,Kreis 3,1,5,,3,2,176,7,,54:35.1,47.368791,8.526894,0101000020E6100000D1EAE40CC50D21409207228B34AF4740
9706157,279,26009490,Entire home/apt,Switzerland,Zurich,,Kreis 3,0,,5,3,,93,1,,54:07.1,47.365252,8.504469,0101000020E610000010B1C1C2490221403866D993C0AE4740
8823075,279,46216624,Entire home/apt,Switzerland,Zurich,,Kreis 4,5,5,5,2,1,103,2,,53:59.9,47.377811,8.515866,0101000020E6100000973C9E961F082140D788601C5CB04740
9276405,279,6015274,Entire home/apt,Switzerland,Zurich,,Kreis 9,0,,3,2,1,93,7,,53:51.5,47.398639,8.494435,0101000020E6100000DAFE959526FD204080F44D9A06B34740
4461830,279,4288128,Entire home/apt,Switzerland,Zurich,,Kreis 5,54,5,4,1,2,175,2,,53:47.8,47.386651,8.51557,0101000020E6100000F29881CAF80721409CFBABC77DB14740
6912521,279,30111932,Entire home/apt,Switzerland,Zurich,,Kreis 1,42,4,2,1,1,78,1,,53:41.1,47.373367,8.543025,0101000020E610000020D26F5F07162140EC33677DCAAF4740
4757383,279,13801139,Entire home/apt,Switzerland,Zurich,,Kreis 7,67,5,2,1,1,122,1,,53:37.0,47.372346,8.553,0101000020E61000004260E5D0221B2140F165A208A9AF4740
9139481,279,47599036,Entire home/apt,Switzerland,Zurich,,Kreis 1,0,,4,1,1,169,3,,53:28.2,47.36558,8.545463,0101000020E6100000295B24ED461721402D095053CBAE4740
8363158,279,7417694,Private room,Switzerland,Zurich,,Kreis 8,1,5,2,1,1,78,,,53:05.8,47.357896,8.555774,0101000020E610000028EFE3688E1C214042AF3F89CFAD4740
2196126,279,2771513,Entire home/apt,Switzerland,Zurich,,Kreis 5,24,5,5,2,1,315,4,,53:02.9,47.383372,8.535068,0101000020E6100000B345D26EF4112140DF196D5512B14740
8453813,279,44500582,Entire home/apt,Switzerland,Zurich,,Kreis 11,0,,3,1,1,83,5,,52:57.8,47.409384,8.55809,0101000020E61000000473F4F8BD1D2140BAC0E5B166B44740
1509338,279,8061776,Private room,Switzerland,Zurich,,Kreis 2,20,5,1,1,,67,1,,52:40.9,47.332679,8.535824,0101000020E6100000E5D2F885571221407288B83995AA4740
3044226,279,13570663,Entire home/apt,Switzerland,Zurich,,Kreis 8,76,4.5,2,0,1,104,,,52:09.3,47.350723,8.561914,0101000020E61000003F541A31B31F21403E7AC37DE4AC4740
10240469,279,52629586,Private room,Switzerland,Zurich,,Kreis 3,0,,2,1,,47,1,,52:02.5,47.364686,8.520538,0101000020E610000087A6ECF4830A21408FA7E507AEAE4740
5168542,279,22404783,Private room,Switzerland,Zurich,,Kreis 7,56,5,2,1,,82,2,,51:59.2,47.356305,8.598963,0101000020E610000031074147AB3221405D33F9669BAD4740
3124190,279,8934007,Private room,Switzerland,Zurich,,Kreis 7,154,4.5,2,1,1,52,1,,51:54.4,47.379813,8.554455,0101000020E610000016359886E11B21403ECC5EB69DB04740
6964012,279,33208915,Private room,Switzerland,Zurich,,Kreis 11,0,,2,1,1,67,1,,51:12.0,47.420784,8.539345,0101000020E6100000B2852007251421400C570740DCB54740
7745803,279,24853889,Private room,Switzerland,Zurich,,Kreis 10,1,4,2,1,1,62,1,,51:01.6,47.396901,8.510182,0101000020E610000008043A9336052140F65FE7A6CDB24740
7838436,279,39204465,Private room,Switzerland,Zurich,,Kreis 11,4,5,2,1,1,62,1,,50:52.9,47.419936,8.50228,0101000020E6100000A9DE1AD82A012140DF347D76C0B54740
2595116,279,6210396,Entire home/apt,Switzerland,Zurich,,Kreis 12,0,,2,1,1,104,15,,50:03.4,47.404392,8.558211,0101000020E6100000F0880AD5CD1D2140CC61F71DC3B34740
8439119,279,25347589,Private room,Switzerland,Zurich,,Kreis 6,0,,2,1,1,104,2,,49:53.4,47.387101,8.544989,0101000020E6100000075C57CC08172140DC9F8B868CB14740
4742051,279,24478416,Entire home/apt,Switzerland,Zurich,,Kreis 4,0,,2,2,1,93,7,,49:32.5,47.377428,8.528921,0101000020E6100000D255BABBCE0E21401F4C8A8F4FB04740
9853190,279,48420108,Private room,Switzerland,Zurich,,Kreis 6,5,5,2,1,1,67,1,,49:15.1,47.382709,8.541147,0101000020E610000033A83638111521404371C79BFCB04740
10095683,279,1140206,Entire home/apt,Switzerland,Zurich,,Kreis 6,1,5,2,2,1,83,1,,48:43.0,47.392858,8.54368,0101000020E610000083FA96395D16214069FCC22B49B24740
4999355,279,16448177,Private room,Switzerland,Zurich,,Kreis 9,54,4.5,3,1,,72,1,,48:33.1,47.375586,8.493086,0101000020E61000001D3BA8C475FC2040F06AB93313B04740
8251833,279,15647838,Private room,Switzerland,Zurich,,Kreis 11,0,,2,1,1,98,5,,48:26.3,47.420479,8.506383,0101000020E61000003080F0A144032140D0D38041D2B54740
7072908,279,29507498,Private room,Switzerland,Zurich,,Kreis 11,15,5,3,1,1,79,1,,47:57.7,47.413994,8.554562,0101000020E61000006E35EB8CEF1B2140C05E61C1FDB44740
6161610,279,30299453,Private room,Switzerland,Zurich,,Kreis 4,0,,1,1,1,83,1,,47:37.3,47.375614,8.516444,0101000020E61000004C6E14596B082140BAF59A1E14B04740
5037976,279,26006569,Entire home/apt,Switzerland,Zurich,,Kreis 2,8,5,2,1,1,104,2,,47:19.2,47.355518,8.526141,0101000020E6100000632B685A620D2140D591239D81AD4740
8321743,279,43870222,Private room,Switzerland,Zurich,,Kreis 10,7,5,1,1,1,72,1,,47:12.3,47.388874,8.529856,0101000020E6100000C32D1F49490F2140E2218C9FC6B14740
6648859,279,2608205,Entire home/apt,Switzerland,Zurich,,Kreis 4,1,5,2,1,1,72,4,,47:10.5,47.379097,8.524606,0101000020E61000001D925A28990C21408081204086B04740
7753396,279,40596795,Entire home/apt,Switzerland,Zurich,,Kreis 6,3,4,2,1,1,90,3,,46:39.8,47.387054,8.544195,0101000020E61000001F4B1FBAA01621409BE447FC8AB14740
8158459,279,23561865,Entire home/apt,Switzerland,Zurich,,Kreis 1,12,5,2,0,1,109,1,,46:19.9,47.371167,8.545789,0101000020E61000007808E3A7711721405E2D776682AF4740
9358301,279,48564459,Private room,Switzerland,Zurich,,Kreis 6,6,4.5,2,1,1,83,1,,44:55.5,47.389894,8.537139,0101000020E6100000F2CF0CE2031321400C74ED0BE8B14740
6578784,279,34415240,Entire home/apt,Switzerland,Zurich,,Kreis 8,4,5,2,1,1,143,3,,44:51.2,47.355333,8.557376,0101000020E61000008D261763601D214044183F8D7BAD4740
6978438,279,13570663,Entire home/apt,Switzerland,Zurich,,Kreis 1,30,4.5,4,0,1,104,,,44:39.5,47.371446,8.544336,0101000020E610000027124C35B3162140711DE38A8BAF4740
6752793,279,24506658,Private room,Switzerland,Zurich,,Kreis 7,25,5,2,1,1,72,1,,44:27.8,47.38032,8.557219,0101000020E61000006E6B0BCF4B1D2140E2016553AEB04740
7657059,279,24579602,Private room,Switzerland,Zurich,,Kreis 10,3,5,2,1,1,62,3,,44:14.3,47.39203,8.532397,0101000020E61000001EFAEE56961021408386FE092EB24740
