room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
14114400,4154026,Entire home/apt,,Lyall Bay-Airport-Moa Point,0,,4,3,150,7,-41.32736,174.791921,09:27.2
12415483,40228930,Private room,,Island Bay West,6,5,2,1,43,1,-41.330631,174.77234,09:20.2
11478263,24171198,Private room,,Thorndon-Tinakori Road,5,4.5,2,1,90,1,-41.27123,174.778118,08:41.7
13299056,75089820,Entire home/apt,,Raroa,0,,6,2,150,2,-41.228116,174.798149,08:29.9
10726733,55439218,Private room,,Willis Street-Cambridge Terrace,2,,1,1,64,1,-41.296288,174.782702,08:24.1
8257007,16064534,Entire home/apt,,Kilbirnie West-Hataitai South,4,4.5,7,2,112,2,-41.309708,174.798317,08:13.3
1190241,6232148,Private room,,Te Kainga,201,4.5,2,1,42,1,-41.253459,174.801149,08:03.6
5607706,29073085,Private room,,Island Bay East,27,4.5,2,1,41,1,-41.336451,174.773745,07:50.7
12786603,36189343,Private room,,Berhampore West,6,4.5,2,1,68,1,-41.320074,174.77615,07:47.0
12192752,12486089,Entire home/apt,,Karori Park,0,,8,4,218,,-41.28321,174.716589,06:57.1
14479039,55186130,Private room,,Mt Victoria West,0,,2,1,37,1,-41.294681,174.785137,06:51.1
6615052,28730213,Private room,,Kilbirnie West-Hataitai South,13,5,2,1,60,1,-41.311191,174.790359,06:19.5
14393379,81964791,Private room,,Mt Cook-Wallace Street,0,,1,1,16,1,-41.300864,174.778473,06:16.8
14454685,89040253,Private room,,Makara-Ohariu,0,,4,1,112,1,-41.171488,174.803857,06:10.5
12306355,20669688,Private room,,Brooklyn,2,,2,1,57,2,-41.309148,174.768146,05:57.8
13160578,73468499,Entire home/apt,,Newtown East,10,5,3,1,71,2,-41.316617,174.782861,05:33.6
1156851,1913521,Entire home/apt,,Lambton,21,4.5,2,0,90,2,-41.284437,174.774823,05:21.8
10127829,51975859,Private room,,Willis Street-Cambridge Terrace,45,5,2,1,70,2,-41.291765,174.778979,05:18.4
13593480,26485538,Entire home/apt,,Karaka Bay-Worser Bay,0,,5,3,247,6,-41.298184,174.832272,05:07.4
11039818,11083016,Entire home/apt,,Seatoun,8,4.5,5,3,148,2,-41.319932,174.828941,04:57.6
11307845,41218834,Private room,,Aro Street-Nairn Street,4,5,2,1,48,1,-41.29648,174.768066,04:54.7
14093488,23540112,Entire home/apt,,Willis Street-Cambridge Terrace,1,,4,2,187,2,-41.295225,174.776807,04:35.3
13550008,78012930,Entire home/apt,,Thorndon-Tinakori Road,1,,5,2,150,1,-41.269121,174.780636,04:32.6
10685861,9270061,Entire home/apt,,Mt Victoria West,12,4.5,6,2,304,1,-41.29149,174.788083,04:24.5
6803459,11083016,Entire home/apt,,Willis Street-Cambridge Terrace,57,4.5,4,2,146,2,-41.293734,174.78061,04:15.5
10615688,45863374,Private room,,Churton Park North,5,5,2,1,74,1,-41.202764,174.804331,04:11.9
11744287,62485736,Private room,,Karori North,3,5,2,1,41,,-41.280579,174.742651,04:08.6
7282830,38137181,Private room,,Willis Street-Cambridge Terrace,6,4.5,2,1,127,1,-41.29757,174.777639,04:05.9
